iter	RMSE
0	0.05776568663
1	0.05775193533
2	0.05773820438
3	0.05772327971
4	0.05771184953
5	0.05770129771
6	0.05769132328
7	0.0576822783
8	0.05767212318
9	0.05765908889
10	0.05764904208
11	0.05763906748
12	0.05762624468
13	0.05761719837
14	0.05760439438
15	0.05759575023
16	0.05758879844
17	0.05757730898
18	0.0575681987
19	0.05756021269
20	0.05755157079
21	0.05754306983
22	0.05753312724
23	0.05752426488
24	0.05751359268
25	0.05750578885
26	0.05749922061
27	0.05749121611
28	0.05748518013
29	0.0574784167
30	0.05747173851
31	0.0574648192
32	0.05746028203
33	0.05745364922
34	0.05744547216
35	0.05743692284
36	0.05743096725
37	0.05742396285
38	0.05741691602
39	0.05741127912
40	0.05740317622
41	0.0573973419
42	0.0573930252
43	0.05738818522
44	0.05738029897
45	0.05737468522
46	0.05737044706
47	0.05736450537
48	0.05735962435
49	0.05735331586
50	0.05734771433
51	0.05734383398
52	0.05733858244
53	0.05733212293
54	0.05732727484
55	0.0573207724
56	0.05731559908
57	0.05731101142
58	0.05730688161
59	0.05730216827
60	0.05729677899
61	0.05729252019
62	0.057288142
63	0.0572830848
64	0.0572797627
65	0.05727501736
66	0.05726989051
67	0.05726632944
68	0.05726201477
69	0.05725613628
70	0.05725127878
71	0.05724659959
72	0.05724211959
73	0.05723797588
74	0.05723334326
75	0.05722922275
76	0.05722393387
77	0.05722167217
78	0.05721790843
79	0.05721378383
80	0.05721066038
81	0.0572057394
82	0.05720140823
83	0.05719694258
84	0.05719252727
85	0.05718648957
86	0.0571819005
87	0.05717669075
88	0.05717354141
89	0.05716973275
90	0.05716734661
91	0.05716359719
92	0.05715760715
93	0.05715386008
94	0.05715074827
95	0.05714677099
96	0.05714273376
97	0.05713915581
98	0.05713511206
99	0.05713079345
100	0.05712722669
101	0.05712406268
102	0.05711997608
103	0.05711515775
104	0.05711105857
105	0.05710766973
106	0.05710516753
107	0.05710253085
108	0.05709793801
109	0.05709487393
110	0.05709095846
111	0.05708657976
112	0.05708335376
113	0.05708006185
114	0.05707616927
115	0.05707265288
116	0.05706862534
117	0.05706408356
118	0.05706064711
119	0.05705796354
120	0.05705505869
121	0.05705263787
122	0.05705032753
123	0.0570464957
124	0.05704301335
125	0.057040033
126	0.05703716012
127	0.05703360844
128	0.05702975455
129	0.05702714129
130	0.05702360393
131	0.0570202697
132	0.05701636108
133	0.05701331354
134	0.05701031968
135	0.05700732267
136	0.05700320975
137	0.05699972774
138	0.05699631732
139	0.056992796
140	0.05699088118
141	0.05698759291
142	0.05698370299
143	0.05698025869
144	0.05697743667
145	0.05697439004
146	0.05697129238
147	0.05696806284
148	0.05696470441
149	0.05696148946
150	0.05695875333
151	0.0569560949
152	0.05695323575
153	0.05694966386
154	0.05694731641
155	0.05694449275
156	0.05694231278
157	0.05694004588
158	0.05693665585
159	0.056934224
160	0.05693181901
161	0.0569294888
162	0.05692641864
163	0.05692282709
164	0.05691998425
165	0.05691717721
166	0.05691409141
167	0.05691119419
168	0.05690846762
169	0.05690530943
170	0.05690163265
171	0.05689940309
172	0.05689568996
173	0.05689265394
174	0.05689072974
175	0.05688773243
176	0.05688464203
177	0.05688183625
178	0.05687843375
179	0.05687651807
180	0.05687377485
181	0.05687173308
182	0.05686894166
183	0.05686722356
184	0.056864219
185	0.05686110934
186	0.05685833238
187	0.05685535735
188	0.05685317996
189	0.05685128142
190	0.05684677927
191	0.05684334168
192	0.05684104984
193	0.0568389139
194	0.05683526582
195	0.05683228058
196	0.05682949321
197	0.05682610859
198	0.05682378604
199	0.05682125934
200	0.05681853746
201	0.05681589647
202	0.05681374759
203	0.0568107282
204	0.05680856411
205	0.05680537935
206	0.05680287284
207	0.05680062139
208	0.05679784148
209	0.05679548776
210	0.05679360531
211	0.05679099019
212	0.05678871124
213	0.05678710182
214	0.05678452544
215	0.05678126426
216	0.05677838729
217	0.05677572042
218	0.05677434789
219	0.05677265997
220	0.05677060556
221	0.05676845796
222	0.05676530099
223	0.05676200566
224	0.05675998992
225	0.05675784792
226	0.0567547805
227	0.05675297181
228	0.05675150258
229	0.05674914393
230	0.05674683927
231	0.05674499727
232	0.05674214252
233	0.05674022223
234	0.05673813058
235	0.05673560908
236	0.05673332491
237	0.05673020506
238	0.05672728643
239	0.0567254438
240	0.05672351694
241	0.05672126535
242	0.05671823804
243	0.05671551722
244	0.05671232724
245	0.05670969334
246	0.05670713148
247	0.05670481309
248	0.05670266299
249	0.05669991437
250	0.05669731297
251	0.05669514455
252	0.05669275348
253	0.05669106613
254	0.05668884634
255	0.05668698742
256	0.05668483966
257	0.05668324533
258	0.05667996027
259	0.05667792356
260	0.0566759289
261	0.05667397929
262	0.05667207776
263	0.05666979705
264	0.05666741393
265	0.0566658161
266	0.05666396847
267	0.05666217193
268	0.05665833791
269	0.05665626431
270	0.05665448859
271	0.05665260447
272	0.05665097612
273	0.05664778853
274	0.05664579581
275	0.05664426962
276	0.05664235204
277	0.05663867324
278	0.05663661999
279	0.05663447333
280	0.05663135707
281	0.05662925839
282	0.05662678323
283	0.05662463319
284	0.05662155855
285	0.05661941433
286	0.05661729713
287	0.05661509854
288	0.05661307456
289	0.05661018603
290	0.05660762871
291	0.05660505621
292	0.05660420371
293	0.05660225163
294	0.05660045012
295	0.05659712712
296	0.05659509646
297	0.05659264994
298	0.05659105603
299	0.05658874794
